The enlarged dataset contains six nickel-based superalloys, including a total of 161 LCF experimental results, with a detailed distribution presented below.
A: The investigated superalloy(70)
B: GH4169(36)
C: Inconel718(16)
D: GH3536(13)
E: GH3600(14)
F: GH4133(12)

Total Strain	Experimental Tempreature	LCF life	Number	Material
0.8	293.15	6384	1	A
0.8	293.15	6684	2	A
0.8005	293.15	7278	3	A
0.6	293.15	21558	4	A
0.6	293.15	22784	5	A
0.6	293.15	25364	6	A
0.5	293.15	45466	7	A
0.46	293.15	69690	8	A
0.46	293.15	71900	9	A
0.46	293.15	72576	10	A
0.5	293.15	39880	11	A
0.5	293.15	44384	12	A
0.9975	573.15	1676	13	A
1.0011	573.15	1924	14	A
1.0025	573.15	1930	15	A
0.8	573.15	5810	16	A
0.6	573.15	15884	17	A
0.6	573.15	17202	18	A
0.5	573.15	28928	19	A
0.501	573.15	31212	20	A
0.5	573.15	45054	21	A
0.8005	573.15	6402	22	A
0.8	573.15	7970	23	A
0.6	573.15	15494	24	A
1	673.15	1764	25	A
0.9995	673.15	2076	26	A
1	673.15	2182	27	A
0.799	673.15	4210	28	A
0.6005	673.15	12910	29	A
0.6	673.15	14482	30	A
0.6	673.15	14868	31	A
0.5	673.15	38324	32	A
0.8	673.15	4484	33	A
0.8	673.15	4606	34	A
1.0189	773.15	1104	35	A
1.0041	773.15	1240	36	A
1	773.15	1324	37	A
0.7925	773.15	2782	38	A
0.7995	773.15	2942	39	A
0.6	773.15	10218	40	A
0.55	773.15	31122	41	A
0.5505	773.15	24592	42	A
0.5	773.15	55538	43	A
0.8	773.15	3040	44	A
0.6	773.15	8636	45	A
0.6	773.15	9304	46	A
0.8	873.15	1526	47	A
0.8	873.15	1266	48	A
0.8	873.15	1204	49	A
0.6005	873.15	2364	50	A
0.6	873.15	4246	51	A
0.5495	873.15	12452	52	A
0.55	873.15	7422	53	A
0.5	873.15	40818	54	A
0.5	873.15	36562	55	A
0.5	873.15	28124	56	A
0.6	873.15	8180	57	A
0.55	873.15	16938	58	A
0.7015	923.15	1584	59	A
0.7005	923.15	1690	60	A
0.7005	923.15	2050	61	A
0.6	923.15	2872	62	A
0.6	923.15	3786	63	A
0.6	923.15	4340	64	A
0.55	923.15	8138	65	A
0.5	923.15	19592	66	A
0.5	923.15	22614	67	A
0.5	923.15	26372	68	A
0.5505	923.15	9856	69	A
0.5505	923.15	12600	70	A
1.39	633.15	301	71	B
0.93	633.15	845	72	B
1.175	633.15	497	73	B
2.155	633.15	81	74	B
0.63	633.15	3111	75	B
0.5	633.15	7228	76	B
0.63	633.15	3111	77	B
0.5	633.15	7228	78	B
0.801	773.15	1181	79	B
1.306	773.15	229	80	B
1.5	773.15	246	81	B
1.003	773.15	831	82	B
0.601	773.15	371	83	B
0.801	773.15	1181	84	B
1.4	823.15	208	85	B
0.425	823.15	18180	86	B
0.505	823.15	4250	87	B
0.97	823.15	611	88	B
0.645	823.15	1526	89	B
2.16	823.15	63	90	B
0.805	823.15	913	91	B
1.16	823.15	273	92	B
0.645	823.15	1526	93	B
1.395	923.15	82	94	B
1.313	923.15	80	95	B
0.503	923.15	2581	96	B
0.8	923.15	371	97	B
0.795	923.15	473	98	B
1.303	923.15	94	99	B
1.003	923.15	354	100	B
0.434	923.15	8486	101	B
0.895	923.15	240	102	B
0.6	923.15	1494	103	B
0.452	923.15	5457	104	B
0.648	923.15	1220	105	B
0.6	923.15	1494	106	B
0.6	623.15	1724	107	C
1	623.15	106	108	C
0.8	623.15	1641	109	C
0.6	623.15	734	110	C
0.6	623.15	3486	111	C
0.8	623.15	441	112	C
1	623.15	534	113	C
0.6	623.15	309	114	C
0.42	923.15	48745	115	C
0.8	923.15	124	116	C
0.47	923.15	12980	117	C
0.43	923.15	50900	118	C
0.45	923.15	35940	119	C
0.5	923.15	6300	120	C
0.8	923.15	169	121	C
0.5	923.15	4000	122	C
0.794	673.15	1242	123	D
0.72	673.15	4448	124	D
0.605	673.15	4812	125	D
0.506	673.15	10662	126	D
0.399	673.15	18080	127	D
0.35	673.15	24238	128	D
0.3	673.15	64728	129	D
0.805	773.15	1114	130	D
0.688	773.15	1864	131	D
0.608	773.15	4044	132	D
0.504	773.15	5600	133	D
0.4	773.15	12362	134	D
0.35	773.15	23440	135	D
0.794	673.15	1560	136	E
0.698	673.15	2982	137	E
0.599	673.15	6360	138	E
0.497	673.15	7528	139	E
0.5	673.15	10022	140	E
0.399	673.15	18864	141	E
0.35	673.15	29932	142	E
0.699	873.15	690	143	E
0.601	873.15	2378	144	E
0.5	873.15	4082	145	E
0.405	873.15	10580	146	E
0.353	873.15	15692	147	E
0.296	873.15	27794	148	E
0.25	873.15	66458	149	E
0.711	723.15	478	150	F
0.594	723.15	722	151	F
0.501	723.15	2264	152	F
0.391	723.15	8642	153	F
0.339	723.15	13492	154	F
0.291	723.15	43948	155	F
0.705	873.15	406	156	F
0.59	873.15	982	157	F
0.478	873.15	2228	158	F
0.386	873.15	5308	159	F
0.34	873.15	9626	160	F
0.292	873.15	31022	161	F
