The number of specimen	Manhattan distance	The number of specimen	Threshold
1	14.88115	0	13.89602
2	14.34777	89	13.89602
3	14.38173		
4	7.42866		
5	7.43872		
6	7.66057		
7	5.05453		
8	5.0453		
9	5.29407		
10	6.48698		
11	6.78132		
12	6.72058		
13	8.12199		
14	8.34983		
15	8.60989		
16	10.5194		
17	10.36397		
18	10.10018		
19	6.63276		
20	6.41789		
21	6.62475		
22	1.7958		
23	1.86337		
24	2.48932		
25	2.76951		
26	3.04695		
27	3.21653		
28	9.80724		
29	10.25679		
30	9.73554		
31	6.04581		
32	6.3859		
33	6.2886		
34	1.88889		
35	1.76996		
36	1.66879		
37	2.2386		
38	10.02221		
39	10.45956		
40	9.72188		
41	10.30539		
42	7.09333		
43	6.80868		
44	7.15195		
45	2.93996		
46	3.33391		
47	3.00005		
48	2.98607		
49	3.24731		
50	4.19639		
51	7.0847		
52	7.55892		
53	6.88277		
54	3.60848		
55	3.66864		
56	3.41876		
57	3.8624		
58	3.72662		
59	3.94115		
60	6.20868		
61	6.04615		
62	5.36029		
63	17.72123		
64	6.7305		
65	6.42922		
66	6.45198		
67	5.50611		
68	5.93866		
69	5.75407		
70	7.27332		
71	6.17705		
72	6.6657		
73	7.64655		
74	8.39999		
75	7.90266		
76	12.81503		
77	12.97683		
